ID,StartTime,EndTime,Mode,ONodeID,DNodeID,Purpose,Expansion
0,34200.0,44200.0,3,90685,90679,0,0
1,43200.0,53200.0,3,65348,170166,0,0
2,43800.0,53800.0,3,37480,81198,0,0
3,55800.0,65800.0,0,81198,136239,0,0
4,52200.0,62200.0,3,161135,132898,0,0
5,53100.0,63100.0,3,91808,132783,0,0
6,33300.0,43300.0,3,65124,65116,0,0
7,56400.0,66400.0,3,57776,90691,0,0
8,57420.0,67420.0,3,65589,57801,0,0
9,64800.0,74800.0,0,132815,11549,0,0
10,46800.0,56800.0,3,90667,65359,0,0
11,57600.0,67600.0,3,112303,35984,0,0
12,27600.0,37600.0,0,65349,91822,0,0
13,48900.0,58900.0,0,112290,112340,0,0
14,35100.0,45100.0,3,65242,65242,0,0
15,34200.0,44200.0,3,35997,36003,0,0
16,37800.0,47800.0,3,65659,35995,0,0
17,41400.0,51400.0,3,36014,91839,0,0
18,45300.0,55300.0,3,112299,172491,0,0
19,30300.0,40300.0,3,65352,37482,0,0
20,64500.0,74500.0,3,1950,1521,0,0
21,65400.0,75400.0,3,65242,170179,0,0
22,27000.0,37000.0,3,91809,68949,0,0
23,37800.0,47800.0,3,132543,132545,0,0
24,40200.0,50200.0,3,91802,91801,0,0
25,42600.0,52600.0,3,91822,132807,0,0
26,64800.0,74800.0,3,12619,65325,0,0
27,68400.0,78400.0,3,65346,65320,0,0
28,63180.0,73180.0,3,65591,53454,0,0
29,65400.0,75400.0,3,65576,118890,0,0
30,16200.0,26200.0,3,112305,65172,0,0
31,40200.0,50200.0,3,161135,112304,0,0
32,57600.0,67600.0,3,112331,112311,0,0
33,61200.0,71200.0,3,112311,112296,0,0
34,48600.0,58600.0,3,132545,1913,0,0
35,64800.0,74800.0,3,112301,136207,0,0
36,52200.0,62200.0,3,91819,112338,0,0
37,57540.0,67540.0,3,112295,112292,0,0
38,31200.0,41200.0,3,132797,125204,0,0
39,57000.0,67000.0,0,167665,112314,0,0
40,67200.0,77200.0,0,112314,69160,0,0
41,57000.0,67000.0,0,112296,112300,0,0
42,67200.0,77200.0,0,112300,165691,0,0
43,47100.0,57100.0,0,91830,124530,0,0
44,47100.0,57100.0,0,91816,1939,0,0
45,30000.0,40000.0,3,65345,91839,0,0
46,44100.0,54100.0,3,91833,65327,0,0
47,50400.0,60400.0,3,112310,37479,0,0
48,52200.0,62200.0,3,65173,132778,0,0
49,54600.0,64600.0,3,134500,112332,0,0
50,19860.0,29860.0,3,35996,57823,0,0
51,41400.0,51400.0,3,37486,65345,0,0
52,43200.0,53200.0,3,65345,1552,0,0
53,48600.0,58600.0,3,66084,90677,0,0
54,50400.0,60400.0,3,112338,36018,0,0
55,39600.0,49600.0,3,112320,81169,0,0
56,31800.0,41800.0,3,132802,1953,0,0
57,71100.0,81100.0,3,65180,91834,0,0
58,71460.0,81460.0,3,132792,65341,0,0
59,40800.0,50800.0,3,91843,91839,0,0
60,43500.0,53500.0,3,91821,91822,0,0
61,28800.0,38800.0,3,132895,1915,0,0
62,49800.0,59800.0,3,65108,158771,0,0
63,24000.0,34000.0,3,136249,18491,0,0
64,17400.0,27400.0,0,12615,131841,0,0
65,61200.0,71200.0,0,1954,134246,0,0
66,68400.0,78400.0,0,91808,76250,0,0
67,57600.0,67600.0,3,65371,78232,0,0
68,38700.0,48700.0,3,37486,37484,0,0
69,45000.0,55000.0,3,37481,65426,0,0
70,40800.0,50800.0,3,132775,134500,0,0
71,46800.0,56800.0,3,37480,37487,0,0
72,31200.0,41200.0,3,65109,134499,0,0
73,48600.0,58600.0,3,65174,132895,0,0
74,56700.0,66700.0,3,169738,65350,0,0
75,66900.0,76900.0,3,132780,37478,0,0
76,45900.0,55900.0,3,132784,65172,0,0
77,49200.0,59200.0,3,65173,65351,0,0
78,54000.0,64000.0,3,65352,127872,0,0
79,66600.0,76600.0,3,65108,91811,0,0
80,76740.0,86740.0,3,132790,91828,0,0
81,76860.0,86860.0,3,132816,65177,0,0
82,30600.0,40600.0,3,91805,132801,0,0
83,38700.0,48700.0,3,132813,91819,0,0
84,61800.0,71800.0,3,112299,65316,0,0
85,28500.0,38500.0,3,132807,91808,0,0
86,57000.0,67000.0,3,91824,132789,0,0
87,69000.0,79000.0,3,132796,12622,0,0
88,77400.0,87400.0,3,65334,65364,0,0
89,63060.0,73060.0,3,91843,91822,0,0
90,27900.0,37900.0,3,91802,112299,0,0
91,55800.0,65800.0,3,112293,112293,0,0
92,28200.0,38200.0,3,65327,91801,0,0
93,16200.0,26200.0,3,112300,78254,0,0
94,47100.0,57100.0,3,112333,136248,0,0
95,28800.0,38800.0,3,112330,35997,0,0
96,54000.0,64000.0,3,65659,112291,0,0
97,21600.0,31600.0,0,65367,148941,0,0
98,28800.0,38800.0,3,112317,65323,0,0
99,49200.0,59200.0,3,161128,90675,0,0
100,26100.0,36100.0,3,112340,133242,0,0
101,21600.0,31600.0,3,112302,112311,0,0
102,69300.0,79300.0,3,112338,65362,0,0
103,60600.0,70600.0,3,112294,161134,0,0
104,45000.0,55000.0,3,90665,112325,0,0
105,48600.0,58600.0,3,112311,161129,0,0
106,66720.0,76720.0,3,65352,91826,0,0
107,67800.0,77800.0,3,91810,81054,0,0
108,68400.0,78400.0,3,91827,81132,0,0
109,32100.0,42100.0,0,91823,118849,0,0
110,42000.0,52000.0,3,65351,134501,0,0
111,60000.0,70000.0,3,90689,65342,0,0
112,61200.0,71200.0,3,132788,90664,0,0
113,26100.0,36100.0,3,91839,11458,0,0
114,27000.0,37000.0,3,91802,91843,0,0
115,27600.0,37600.0,3,91820,91803,0,0
116,57600.0,67600.0,3,65345,91820,0,0
117,59100.0,69100.0,3,91838,112305,0,0
118,75600.0,85600.0,3,65123,112305,0,0
119,28800.0,38800.0,3,91839,91820,0,0
120,66600.0,76600.0,3,91836,65327,0,0
121,28800.0,38800.0,3,91819,91803,0,0
122,66600.0,76600.0,3,91804,91844,0,0
123,45000.0,55000.0,3,57766,57776,0,0
124,46260.0,56260.0,3,112324,112330,0,0
125,28800.0,38800.0,3,90677,91812,0,0
126,28500.0,38500.0,3,167665,7970,0,0
127,69300.0,79300.0,3,112333,112324,0,0
128,77700.0,87700.0,3,112291,112315,0,0
129,65400.0,75400.0,3,112290,65348,0,0
130,67200.0,77200.0,3,112307,112339,0,0
131,34200.0,44200.0,0,172492,115914,0,0
132,54000.0,64000.0,3,65659,36010,0,0
133,55200.0,65200.0,3,35981,35981,0,0
134,48600.0,58600.0,3,91811,65324,0,0
135,31500.0,41500.0,3,132816,132793,0,0
136,52500.0,62500.0,3,91802,81008,0,0
137,69000.0,79000.0,0,90674,118848,0,0
